Postevauation: Average Fitness 1427.37 Total Steps 623161
Postevauation: Average Fitness 1553.29 Total Steps 649370
Postevauation: Average Fitness 1979.35 Total Steps 783020
Postevauation: Average Fitness 1589.56 Total Steps 790897
Postevauation: Average Fitness 1995.10 Total Steps 806896
Postevauation: Average Fitness 2164.77 Total Steps 866854
Postevauation: Average Fitness 1074.79 Total Steps 545371
Postevauation: Average Fitness 1870.94 Total Steps 747419
Postevauation: Average Fitness 1907.50 Total Steps 770233
Postevauation: Average Fitness 1967.66 Total Steps 828604
