Postevauation: Average Fitness 97.39 Total Steps 59583
Postevauation: Average Fitness 99.67 Total Steps 66121
Postevauation: Average Fitness 95.52 Total Steps 64993
Postevauation: Average Fitness 92.19 Total Steps 64528
Postevauation: Average Fitness 114.19 Total Steps 81396
Postevauation: Average Fitness 83.08 Total Steps 55539
Postevauation: Average Fitness 96.99 Total Steps 61584
Postevauation: Average Fitness 67.15 Total Steps 53876
Postevauation: Average Fitness 84.74 Total Steps 55363
Postevauation: Average Fitness 93.24 Total Steps 73141
Postevauation: Average Fitness 92.33 Total Steps 68457
