Postevauation: Average Fitness 1263.52 Total Steps 516893
Postevauation: Average Fitness 1499.21 Total Steps 748248
Postevauation: Average Fitness 1918.60 Total Steps 811430
Postevauation: Average Fitness 2004.17 Total Steps 835648
Postevauation: Average Fitness 1876.71 Total Steps 783751
Postevauation: Average Fitness 1787.56 Total Steps 775488
Postevauation: Average Fitness 2094.18 Total Steps 815981
Postevauation: Average Fitness 2161.57 Total Steps 917903
Postevauation: Average Fitness 1162.04 Total Steps 600697
Postevauation: Average Fitness 1717.05 Total Steps 797701
